"Word ","guasch_2016 
valence_m × ","guasch_2016 
valence_sd × ","guasch_2016 
arousal_m × ","guasch_2016 
arousal_sd × ","guasch_2016 
concreteness_m × ","guasch_2016 
concreteness_sd × ","guasch_2016 
imageability_m × ","guasch_2016 
imageability_sd × ","guasch_2016 
contextual_availability_m × ","guasch_2016 
contextual_availability_sd × ","guasch_2016 
familiarity_m × ","guasch_2016 
familiarity_sd × "
"apariencia","4.55","0.94","4.73","1.80","3.27","1.72","2.18","1.56","4.36","1.99","5.10","1.92"
"apartamento","6.32","1.49","3.65","2.03","6.18","1.14","6.55","0.60","6.23","1.27","6.05","1.09"
"aperitivo","6.86","1.21","5.60","2.44","5.09","1.66","5.59","1.37","5.71","1.52","6.27","0.94"
"aplauso","7.57","1.27","5.91","2.58","5.40","1.60","6.50","1.06","6.27","0.88","6.30","1.56"
"aprecio","7.91","1.02","3.65","2.66","3.10","1.77","3.33","2.27","5.77","1.38","6.05","1.21"
"aptitud","7.40","1.14","5.18","1.76","2.75","1.71","1.68","1.25","3.83","2.15","5.09","1.66"
"apuros","2.70","1.17","6.23","2.39","3.91","1.47","2.57","1.75","3.82","1.94","4.90","1.81"
"araña","3.40","1.27","7.27","1.03","6.55","0.76","6.85","0.37","6.10","1.37","5.50","1.64"
"argumento","5.59","0.85","4.25","2.00","3.05","1.66","2.33","1.24","4.91","1.95","5.78","1.68"
"armario","4.95","0.51","4.00","1.93","6.50","1.10","6.90","0.30","6.18","1.50","7.00","0.00"
"armonía","7.87","0.97","3.20","2.59","2.45","1.63","2.09","1.23","4.09","2.22","4.83","2.04"
"arrebatar","2.64","1.43","7.65","1.27","3.67","2.06","2.27","1.39","3.45","2.13","3.76","1.92"
"arroyo","4.74","1.66","4.05","2.50","5.86","1.28","5.73","1.55","3.77","2.20","4.32","2.06"
"arroz","5.14","0.35","3.77","1.48","6.41","0.91","6.85","0.67","6.09","1.54","6.91","0.29"
"artefacto","3.86","1.39","6.20","2.26","2.86","1.86","2.73","1.75","2.68","1.86","3.81","2.02"
"artesana","6.07","1.41","3.65","2.04","4.50","1.68","3.76","2.07","3.76","2.00","4.82","1.92"
"artículo","4.90","0.94","3.86","1.93","2.73","1.64","4.85","2.03","5.18","1.97","6.30","0.66"
"asalariada","5.89","1.71","4.91","1.95","3.95","2.13","2.48","1.94","2.38","1.96","4.20","2.12"
"ascender","6.77","1.66","5.80","2.48","5.00","1.10","3.45","1.97","4.33","1.97","5.48","1.68"
"asesina","1.45","0.94","7.82","1.62","6.39","0.78","5.61","1.44","2.71","1.85","5.41","1.56"
"asesinar","1.19","0.40","7.95","1.43","5.96","1.66","5.30","2.05","4.91","2.39","5.57","1.97"
"asesinato","1.35","0.88","8.14","1.25","5.52","1.50","5.87","1.18","4.96","2.51","5.76","1.58"
"asesino","1.62","1.16","7.43","1.66","4.75","1.71","5.05","1.40","5.18","1.76","5.91","1.70"
"asesor","5.71","1.33","4.22","1.62","4.09","1.80","2.81","1.78","2.81","1.72","4.85","1.31"
"asesora","5.38","1.24","4.85","1.81","4.67","1.74","2.45","1.79","3.50","2.13","4.91","1.88"
"asfalto","4.60","0.82","3.14","2.14","6.40","0.99","6.27","1.20","4.87","2.47","5.75","1.41"
"asilo","3.39","1.42","4.43","2.15","5.55","1.57","5.57","1.36","4.71","1.90","4.50","1.37"
"asistenta","4.73","1.40","3.75","1.86","4.71","1.74","4.30","2.15","4.23","1.88","4.90","1.97"
"asqueroso","3.00","1.34","6.35","1.69","4.50","1.67","4.60","1.64","4.85","1.84","5.90","1.67"
"asunto","5.13","0.76","4.05","1.79","1.67","1.11","1.59","0.96","3.36","2.17","6.09","1.31"
"asustado","2.70","1.13","6.10","2.32","5.43","1.47","5.04","1.80","5.39","1.47","5.83","1.67"
"ataque","3.04","1.92","7.19","1.89","3.41","1.71","4.05","1.79","4.50","2.01","5.82","1.44"
"ataúd","1.91","1.34","6.71","1.98","6.65","0.59","6.60","0.94","5.60","1.64","4.50","2.21"
"atentado","1.68","0.95","8.20","1.24","4.86","1.68","4.59","1.62","5.71","1.92","5.50","1.26"
"aterrorizado","2.32","1.25","7.19","1.89","5.26","1.66","4.91","1.88","5.41","1.89","4.87","1.96"
"atracción","7.18","1.18","7.60","1.85","2.77","1.51","3.73","2.10","5.79","1.38","6.40","0.88"
"atraco","1.45","0.89","7.50","1.63","5.65","1.56","5.13","1.87","5.30","1.99","5.35","1.53"
"atraer","7.05","1.33","6.75","2.43","3.19","1.86","3.90","2.12","4.64","2.17","5.82","1.76"
"atrevido","6.27","0.94","6.09","1.48","5.17","1.37","3.57","1.97","5.77","1.54","5.82","1.56"
"atrocidad","2.15","0.99","6.33","2.33","3.83","1.64","2.35","1.34","2.95","2.44","3.59","1.82"
"aumento","6.26","1.54","5.18","2.20","3.55","1.47","3.10","1.74","4.77","2.20","5.20","1.70"
"ausencia","2.33","1.20","4.59","2.15","2.95","1.79","2.45","1.47","4.80","1.88","5.32","1.46"
"autobús","4.71","1.10","4.91","1.57","6.77","0.43","6.80","0.70","6.27","1.35","6.40","0.88"
"autoridad","5.00","1.75","6.86","1.32","4.32","1.64","4.29","1.82","5.17","1.67","5.35","1.99"
"auxilio","3.05","1.99","7.90","1.92","3.65","2.11","3.36","1.87","4.91","2.07","4.67","1.28"
"avance","7.15","1.09","4.82","1.94","2.73","1.24","2.50","1.50","3.78","2.39","5.52","1.25"
"avión","5.14","1.58","6.50","1.54","6.70","0.57","6.85","0.49","6.40","1.05","6.50","0.86"
"avispa","3.05","1.23","6.60","1.50","6.57","1.20","7.00","0.00","5.82","1.68","5.59","1.82"
"ayuda","6.58","2.02","5.86","2.50","3.20","2.07","3.10","1.45","4.90","2.00","6.60","0.88"
"ayudar","7.68","1.29","4.90","2.45","2.95","1.93","3.20","1.54","5.71","1.60","6.55","0.76"
"ayuntamiento","4.83","1.53","3.18","1.84","6.05","1.00","6.05","1.36","6.18","1.30","5.57","2.06"
"azafata","5.75","1.25","5.40","1.31","4.71","1.49","6.74","0.54","5.77","1.51","5.27","1.64"
"azar","5.15","1.09","4.55","2.18","2.50","1.87","2.19","1.17","4.45","2.20","5.90","1.37"
"azulejo","5.10","0.55","3.76","1.87","5.52","2.02","5.91","1.73","2.91","2.18","4.95","2.11"
"ácido","4.00","2.14","6.80","1.91","5.10","1.64","3.59","1.87","4.95","2.42","5.73","1.35"
"águila","5.40","1.19","4.90","1.94","6.80","0.41","6.85","0.67","5.00","2.29","5.67","1.20"
"ánimo","7.14","1.20","5.59","2.06","2.73","1.45","1.91","1.44","4.18","2.08","6.00","1.78"
"árbitro","5.00","0.73","5.80","2.14","5.14","1.20","6.65","0.49","6.26","1.10","5.86","1.52"
"átomo","4.95","1.09","4.09","1.77","4.95","2.26","2.68","1.94","2.55","2.11","5.18","1.40"
"bacteria","3.00","1.41","5.19","1.78","5.05","1.62","4.09","1.80","3.90","2.10","4.95","1.80"
"bailarina","6.61","0.96","4.26","2.34","5.36","1.36","6.48","0.68","5.95","1.36","6.00","1.61"
"bailarín","6.55","1.36","5.45","2.04","6.45","0.80","6.29","0.78","5.23","2.14","5.62","1.88"
"balanza","5.25","1.16","3.86","1.75","6.05","1.50","6.82","0.50","5.95","1.73","5.10","1.71"
"balcón","5.57","1.08","3.50","2.35","6.25","1.07","6.81","0.40","6.05","1.56","6.55","0.89"
"balneario","7.33","1.52","3.67","3.55","6.27","0.77","6.55","0.80","6.55","0.94","5.41","1.59"
"baloncesto","6.09","1.44","4.85","2.91","6.20","1.28","6.65","0.67","5.73","1.86","5.25","2.22"
"banco","4.64","1.26","5.00","1.78","5.05","1.63","6.73","0.55","6.25","0.91","6.67","0.48"
"banda","5.45","1.82","4.65","1.60","3.90","1.81","5.25","1.62","4.70","2.27","5.59","1.40"
"bandeja","4.81","0.75","3.85","1.60","5.67","1.20","6.75","0.44","5.00","1.90","6.65","0.65"
"banquete","7.29","1.46","4.90","1.79","5.10","1.67","6.10","1.07","5.95","1.54","5.40","1.67"
"bañador","6.18","1.31","3.52","2.00","5.55","1.71","7.00","0.00","5.90","1.61","6.24","0.94"
"baño","6.25","1.29","3.64","1.87","5.59","1.50","6.68","0.57","6.65","0.67","6.86","0.36"
"baranda","5.00","0.56","3.55","1.77","5.00","2.17","5.09","2.29","3.83","2.48","3.65","2.25"
"barbaridad","3.48","1.90","6.73","1.78","2.45","1.47","2.09","1.44","4.05","2.24","4.71","2.03"
"barco","5.86","1.61","3.77","1.95","6.18","1.18","6.86","0.35","6.25","0.91","6.14","1.39"
"barra","4.91","0.68","4.45","1.71","4.36","1.94","6.19","0.98","5.60","2.16","5.90","1.62"
"barranco","3.82","1.47","6.05","2.72","6.32","1.17","6.75","0.44","5.27","2.21","5.38","1.75"
"bastón","4.60","0.99","4.14","1.64","6.67","0.58","6.87","0.46","5.50","1.90","5.55","1.65"
"bata","5.35","0.88","3.75","1.89","6.10","1.17","6.38","1.47","6.32","1.32","5.68","1.64"
"bautizo","5.75","2.80","4.48","2.38","5.91","1.27","5.23","1.72","6.45","1.00","5.05","1.47"
"bendición","6.35","1.57","3.68","2.21","3.00","1.77","2.00","1.57","4.00","2.45","4.52","1.12"
"beneficio","7.26","1.57","5.50","2.44","2.65","1.39","2.91","2.02","3.91","1.90","5.10","2.07"
"beso","8.14","1.11","5.86","2.94","5.75","1.41","6.71","0.56","6.55","0.60","6.67","0.66"
"bestia","3.45","1.64","6.25","2.00","4.18","1.62","5.52","1.72","4.75","2.02","5.33","1.62"
"bienestar","8.30","0.93","3.75","2.94","2.50","1.76","3.05","1.50","4.55","2.09","5.85","1.57"
"bikini","6.81","1.77","5.00","2.08","4.76","1.76","6.90","0.31","6.50","0.60","6.73","0.55"
"billetera","5.35","0.94","4.75","2.02","6.19","0.98","6.60","0.68","4.91","2.09","5.24","1.89"
"blusa","5.35","0.98","4.35","1.98","6.50","0.74","6.67","1.11","6.05","1.43","5.50","1.90"
"bodega","5.70","1.18","4.05","2.19","5.71","1.71","6.14","1.25","5.36","1.79","4.76","1.81"
"bofetada","2.86","1.17","6.95","1.40","6.50","0.61","6.10","1.02","6.00","1.38","6.09","1.31"
"bolsa","5.00","0.31","3.55","1.87","5.38","1.75","6.73","0.77","6.25","1.86","6.55","0.83"
"bolsillo","5.50","0.80","4.25","1.94","6.14","1.42","6.75","0.44","5.64","1.53","6.62","1.12"
"bolso","5.35","1.32","3.80","1.77","5.48","1.54","6.85","0.37","6.09","1.19","6.70","0.73"
"bombardeo","2.09","1.80","7.50","2.04","4.86","1.49","6.05","1.28","4.41","2.24","4.57","1.54"
"bombero","5.18","1.82","5.14","2.29","6.75","0.44","6.80","0.41","6.45","0.83","5.65","1.60"
"bombilla","4.96","0.21","3.50","2.40","6.65","0.49","6.91","0.29","6.09","1.57","6.48","0.81"
"bondad","7.23","1.34","3.70","3.10","3.30","1.98","2.05","1.17","4.88","1.62","6.35","1.23"
"borde","3.86","1.08","4.68","2.08","3.25","1.74","4.91","1.77","5.05","1.82","6.20","0.95"
"borracho","3.30","1.03","6.40","1.47","6.09","1.08","6.26","1.36","6.64","0.58","6.68","0.57"
"bota","5.00","0.46","4.00","2.00","5.41","1.74","6.91","0.43","5.85","1.79","6.15","1.50"
"bote","4.71","0.90","3.95","1.73","4.77","2.02","6.48","1.16","5.35","2.08","5.82","1.44"
"botella","5.65","0.83","4.05","1.90","6.09","1.44","7.00","0.00","6.45","1.06","6.75","0.55"
"botín","5.85","1.53","5.23","2.14","4.95","1.81","5.50","1.99","3.90","2.25","5.00","1.88"
"brazo","4.80","0.52","3.40","1.88","6.36","0.79","7.00","0.00","6.32","1.39","6.86","0.35"
"brevedad","4.55","1.93","3.55","1.77","3.78","1.95","2.61","1.80","4.35","2.27","5.33","1.43"
"brillante","7.15","1.16","6.15","1.87","2.90","1.76","4.30","2.15","4.55","2.18","5.68","1.32"
"brutalidad","2.79","1.64","8.05","1.13","4.22","1.54","3.61","1.90","3.35","1.98","4.48","1.75"
"bufanda","5.39","1.20","3.05","1.70","6.52","0.68","6.90","0.45","5.91","1.74","6.64","0.49"
"bulto","3.82","1.31","5.61","2.37","3.14","2.01","4.71","1.74","2.57","1.80","5.18","1.92"
"burro","4.85","1.27","4.67","2.03","5.64","1.50","6.70","0.80","5.70","2.15","5.70","1.56"
"butaca","5.91","0.87","2.95","1.79","6.40","0.99","6.76","0.44","5.75","2.29","6.00","1.02"
"buzón","4.77","0.71","3.75","1.65","5.52","1.91","6.85","0.37","5.45","2.11","6.32","1.25"
"cabello","6.15","1.04","4.10","2.61","6.32","0.72","6.59","0.59","6.35","1.43","6.15","1.31"
"cachondeo","5.64","2.50","7.45","1.57","3.71","2.05","3.85","1.60","5.63","1.21","6.18","0.80"
"cadáver","1.68","1.04","7.09","1.54","6.14","1.39","6.50","0.69","5.45","1.82","5.05","1.28"
"caer","3.00","1.17","6.27","2.41","4.91","1.57","5.14","1.46","5.91","1.41","6.33","1.11"
"caja","4.85","0.88","3.55","1.73","4.19","1.94","6.60","0.75","5.50","1.99","6.68","0.65"
"calefacción","6.57","1.47","2.50","1.92","5.57","1.50","5.95","1.47","6.59","0.85","6.75","0.44"
"calidad","6.83","1.53","4.15","2.62","2.50","1.36","2.90","1.71","4.55","2.11","5.75","1.55"
"callado","4.05","1.64","3.80","2.26","5.91","1.47","5.09","1.98","5.36","1.97","6.38","0.86"
"calvario","2.13","0.87","6.27","2.37","2.73","1.64","2.50","1.54","3.59","2.13","4.14","1.46"
"cama","6.86","1.25","2.55","2.16","6.77","0.53","7.00","0.00","6.75","0.55","6.95","0.21"
"camarera","5.50","1.29","4.87","2.40","6.09","1.06","6.19","1.29","5.71","1.93","6.48","0.93"
"cambio","5.27","1.75","6.10","2.15","3.09","1.80","2.09","1.41","5.32","1.64","6.38","1.07"
"camión","5.05","0.97","5.05","1.54","6.38","1.02","6.86","0.35","6.09","1.34","6.24","1.22"
"camiseta","5.48","0.99","4.35","1.98","6.60","0.60","6.86","0.36","6.45","0.96","6.64","1.05"
"camisón","5.38","0.90","3.45","1.79","6.14","0.96","6.60","0.99","5.00","2.14","4.85","2.08"
"campamento","7.05","1.50","4.65","2.52","5.48","1.29","5.41","1.30","5.18","2.17","5.50","1.79"
"campaña","4.80","0.70","4.15","1.73","3.15","1.90","3.65","1.76","5.25","2.22","4.90","1.67"
"campeona","8.30","0.92","7.09","1.80","5.04","1.52","6.04","1.36","4.67","1.74","5.60","1.60"
"campeonato","5.67","1.66","6.90","2.19","4.50","1.47","5.35","1.37","6.10","1.21","5.55","1.47"
"campesino","5.05","1.05","3.75","1.74","6.19","0.93","6.75","0.55","4.83","2.24","4.65","1.98"
"canal","4.76","0.62","3.27","1.72","3.59","1.68","4.22","2.04","6.15","1.69","5.90","1.14"
"canción","7.55","1.37","4.64","2.85","5.10","1.86","3.90","2.07","6.41","1.14","6.90","0.30"
"candado","3.86","1.75","4.30","2.32","6.67","0.58","6.77","0.53","4.96","2.40","5.50","1.79"
"candidata","5.64","1.03","4.43","1.88","3.64","1.84","2.76","1.84","3.67","1.91","5.45","1.77"
"candidato","5.00","0.65","4.75","1.62","3.19","1.63","3.68","2.17","4.55","1.97","5.59","1.44"
"cansancio","2.80","1.15","4.45","2.81","3.80","1.94","3.95","1.75","5.39","2.06","6.65","0.49"
"cantidad","5.38","1.32","4.73","1.80","2.05","1.12","2.80","1.61","3.59","2.06","6.55","0.89"
"caña","5.14","1.35","4.45","1.18","5.20","1.44","6.24","0.94","6.00","1.49","5.86","1.46"
"cañón","2.95","1.72","5.80","1.94","6.35","0.88","6.55","1.36","4.50","2.12","5.14","1.80"
"capa","5.19","0.68","3.95","1.70","5.85","1.14","6.41","0.85","5.05","2.26","5.45","1.53"
"capacidad","7.13","1.32","4.73","2.57","2.65","1.60","2.00","1.24","2.82","1.47","6.25","1.21"
"capilla","3.91","1.38","4.05","2.01","5.90","1.26","5.86","1.15","5.09","1.85","4.50","1.87"
"capital","5.33","0.80","4.50","1.88","4.00","2.24","4.96","1.66","5.10","2.15","6.39","0.84"
"capitán","5.22","1.57","3.95","2.61","5.71","1.45","5.57","1.16","4.82","2.20","5.65","1.92"
"capricho","5.48","2.02","5.55","1.82","2.95","1.61","2.14","1.46","4.05","2.21","5.60","1.79"
"carcajada","8.33","0.66","4.81","2.96","5.55","1.53","6.15","1.27","6.17","1.37","6.00","1.05"
"carcelero","3.39","1.20","5.30","2.34","5.00","1.66","4.05","1.86","4.00","2.30","4.19","1.97"
"cardenal","3.81","1.47","4.85","1.95","5.18","1.65","4.86","1.85","3.55","2.19","3.90","2.25"
"carga","3.80","1.28","4.91","2.04","3.74","1.81","4.35","2.06","4.09","2.41","5.19","1.60"
"caricia","8.10","1.04","4.15","3.08","4.55","1.54","5.35","1.23","6.20","1.20","6.50","0.67"
"caridad","6.50","2.69","4.32","1.86","3.91","1.78","3.13","1.79","4.83","2.29","5.24","1.41"
"cariño","8.58","0.72","4.86","3.28","3.50","1.79","4.19","2.04","5.55","1.79","6.82","0.50"
"cariñoso","7.35","1.46","4.48","2.69","4.30","1.49","4.15","1.42","5.65","1.84","6.68","0.89"
"carmín","5.67","0.91","4.25","1.83","5.65","1.39","5.14","1.81","3.55","2.15","4.55","2.06"
"carnicería","4.15","1.39","5.60","1.79","6.22","1.31","6.78","0.52","6.05","1.21","5.95","1.40"
"carpeta","5.17","0.98","3.90","1.83","6.05","1.46","6.77","0.53","6.64","0.58","6.62","0.59"
"cartel","5.25","0.70","3.65","1.99","4.41","2.22","6.38","1.02","4.67","1.85","6.10","0.94"
"carterista","2.23","1.45","6.65","1.81","5.81","1.33","4.50","1.99","5.00","1.85","5.04","1.92"
"casaca","5.08","0.98","3.85","1.79","5.48","1.63","4.70","2.39","2.09","1.69","2.38","1.66"
"casco","5.00","0.98","3.50","1.82","6.00","0.97","6.43","0.98","5.80","1.82","6.05","1.72"
"caseta","4.90","0.91","4.15","1.79","4.10","1.84","5.95","1.17","4.68","2.01","5.60","1.43"
"casino","4.95","1.50","5.14","2.01","6.05","1.28","5.95","1.28","5.00","2.02","4.76","1.37"
